
＠(￣-￣)＠,1,阜新,1,5,完美，我命由我不由天。
柟枋,2,偃师,1,5,我觉得还怪好看的，我陪发小看的，，她特别推荐这个，如果对这个有兴趣的，强烈推荐啦
月末年初,1,杭州,1,5,燃爆了，情节很突出！本来打算，等种子的！但是，看也不算贵，果然电影院看的更带劲！国漫加油！！！
零落,2,南京,1,4,很好看，剧情很不错，配乐惊喜
一梦冬瓜,0,广州,1,5,申公公，亮点在后面的彩蛋上🔥
MIT苏哈,0,沂水,2,5,真好！！！！！！！！！
云素衣,0,西安,2,5,敖丙的配音！！！爱了
杰,0,凉山,1,5,励志，搞笑，打斗精彩，感人，片段再现大话西游经典。国漫崛起，值得一看！
菜菜不语,2,嘉善,1,5,真的很好看！刷几遍都不为过！大家去看吧！绝对不会吃亏的！
tGP594910735,0,巢湖,3,5,好看好看好看，国产动画电影越来越好啦~敖丙又温柔又好看，贤妻(⋈◍＞◡＜◍)
拾柒,0,湘潭,1,4.5,"国漫做的越来越好,身为中国人真是感到无比的自豪🎉 .这部电影值得一看。"
洛夕云,2,贵阳,2,5,已经不能用意犹未尽来形容了，剧情跌宕起伏，如果说大圣是敲响了国漫的大门，那么哪吒就是彻底推开了国漫的大门～期待2020年的姜子牙！！也期待其他团队的国漫作品！！
Sakura的小怪兽,0,天津,1,5,啊啊啊啊太棒了！！！！！回来立刻关注了lof，阿伟先死为敬
陌上花开,0,广汉,1,4.5,在电影院里看片时笑了哭，哭了笑，里面的人物显示出善恶非绝对，世界不是非黑即白的，选择很重要。很好的动漫电影，喜欢，好看。
七月,2,攀枝花,1,5,国漫真的崛起了！有笑有泪，准备二刷哈哈哈哈
姜姜,2,昌邑,1,5,妹妹力荐，的确对得起我妹妹的各种溢美之词。国产动画不论画质，故事情节以及内容，都值得深深的思考。哭了也笑了也感悟了
༄,1,长沙,1,5,国漫中算好的了，打破了对哪吒的固有想法
夔蹙,0,固始县,2,5,看的我把包都忘在电影院了😂
空白,2,淄博,1,5,"真的是出乎意料的好看
喜欢丑萌丑萌的哪吒"
complex.🌙,2,赣州,1,5,太好看了吧我要吹爆！！我还想二刷！！好看好看好看都给我我看哪吒！！
甜酱🖤,2,北京,2,5,超好看，特别好看
宋秋寒,2,重庆,1,5,啊啊啊超喜欢啊啊啊！！！哪吒好可爱麻麻爱你！！！敖丙你好帅我可以！！！变身后的哪吒我也可以！！！算了还是你俩🔒 了叭。好看到流泪了呜呜呜。
欣欣向荣,2,瑞昌,1,5,很好看！！！！！就是哪吒长大的时候太少了，小时候。。。。。略丑。
磷叶石love砂辰,0,渑池,1,5,超级好看，国漫真的在掘起了
唐家三少Victor,1,金坛,2,4.5,刚从电影院出来，开始是冲着9.7分去的，我看的是IMAX3D版的，说实话，特效还是很不错的，特别是最后哪吒和敖丙合力对抗天雷那段非常震撼，但是我要吐槽下哪吒的老娘的配音，不知道为啥，我对她就没什么好感，总感觉不舒服，然后我觉得哪吒老娘和哪吒之间有些太煽情了，踢毽子那段可以酌情删减一下，看着有些矫情，最后就是结尾感觉结束的太仓促了，彩蛋也没意思，太短了吧，最后还蹦出来个姜子牙，期待第二部更精彩吧！
独孤木,0,南安,1,5,国漫巅峰，毫无尿点！！！
love,2,涪陵,1,5,好看，有意义，两个任务都喜欢
W,0,东莞,3,5,好康！！！藕饼我🉑️！！！
上有竹林深,2,合肥,1,5,非常非常好看
七月的肥猫120,2,北京,1,5,好看，非常燃
费绗,1,上海,5,5,挺好看，融入了些现代元素，有笑点，高潮拍得跟漫威电影似的
别说了先点菜吧,1,重庆,4,5,吹爆 我一大男生跟着小女生一起哭 父母爱真的顶不住
几何,1,通辽,1,5,好看.........
君,1,益阳,2,4,还不错，好像电影最后还有彩蛋，但是电影只放完就关了，没看到彩蛋，明明还有人等着😂 😂 😂 😭 😭 
🖤,2,成都,1,5,笑点 泪点齐聚 长大的哪吒好帅啊 
fengxueabc1,0,聊城,3,5,有哭有笑 特效完美 值得一看
tba23345879,0,怀化,2,3,精华都在预告片中
邻居家的傻鹿,0,普宁,1,5,大场面很震撼，很值得看，高举藕饼大旗
进击的草泥马,2,汕头,1,5,呜呜呜，真的太好看了
程,0,宁德,1,4.5,多余的话没有，就一个字“值”。
艳阳天,2,哈尔滨,1,5,好看，化敌为友，正义感十足! 大爱无疆! 还有彩蛋，超燃!期待下一部。
直来直往的夏天,0,百色,2,5,不错。很好看。欢笑与感动不断。
